"Work (W), Instance (I), Item (Item)",Path to value,MARC destination,MARC Repeatability,Conversion,Notes
W,subject/madsrdf:CorporateName/madsrdf:hasExactExternalAuthority,610 $1,R,,
W,subject/Agent/role/Role/code && (subject/madsrdf:CorporateName),610 $4,R,,$4 generated from code
W,subject/Agent/role/Role && (subject/madsrdf:CorporateName),610 $4,R,,$4 generated from URI
W,,610 $6,NR,,See specs for linkage.
W,subject/madsrdf:ConferenceName,611,NR,,Each subject/madsrdf:ConferenceName will create a MARC 611.
W,subject/madsrdf:ConferenceName,611 I1,NR,"""2""",
W,subject/madsrdf:ConferenceName,611 I2,NR,"""0""",
W,subject/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:NameElement/madsrdf:elementValue,611 $a,NR,,
W,subject/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:GeographicElement/madsrdf:elementValue,611 $c,R,,
W,subject/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,611 $d,NR,,nac $d for title portion (it's buried in the label)
,,611 $e,R,,nac
,,611 $g,NR,,nac
W,subject/Agent/role/Role/rdfs:label && (subject/madsrdf:ConferenceName),611 $j,R,,
,,611 $u,NR,,nac
W,subject/madsrdf:ConferenceName,611 $0,RR,value == URI,
W,subject/madsrdf:ConferenceName/madsrdf:hasExactExternalAuthority,611 $1,R,,
W,contribution/bflc:Contribution/role/Role/code && (subject/madsrdf:ConferenceName),611 $4,R,,$4 generated from code
W,contribution/bflc:Contribution/role/Role && (subject/madsrdf:ConferenceName),611 $4,R,,$4 generated from URI
W,,611 $6,NR,,See specs for linkage.
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),700,NR,,Each contribution/Contribution/agent/madsrdf:PersonalName will create a MARC 700.
W,contribution/Contribution/agent/madsrdf:PersonalName,700 I1,NR,"""1""",
W,contribution/Contribution/agent/madsrdf:FamilyName,700 I1,NR,"""3""",
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),700 I2,NR,""" """,
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:FullNameElement/madsrdf:elementValue,700 $a,NR,,
,,700 $b,NR,,
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:TermsOfAddressNameElement/madsrdf:elementValue,700 $c,RR,,
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,700 $d,NR,,
W,contribution/Contribution/role/Role/rdfs:label && (contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),700 $e,R,,
,,700 $j,R,,nac - information cannot be determined from madsrdf.
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:fullerName/(madsrdf:PersonalName || madsrdf:FamilyName)/rdfs:label,700 $q,NR,,
,,700 $u,NR,,nac - information cannot be determined from madsrdf.
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),700 $0,RR,value == URI,
W,contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:hasExactExternalAuthority,700 $1,R,,
W,contribution/Contribution/role/Role/code && (contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),700 $4,R,,$4 generated from code
W,contribution/Contribution/role/Role && (contribution/Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),700 $4,R,,$4 generated from URI
W,,700 $6,NR,,See specs for linkage.
W,contribution/Contribution/agent/madsrdf:CorporateName,710,NR,,Each contribution/Contribution/agent/madsrdf:CorporateName will create a MARC 710.
W,contribution/Contribution/agent/madsrdf:CorporateName,710 I1,NR,"""2""",
W,contribution/Contribution/agent/madsrdf:CorporateName,710 I2,NR,""" """,
W,contribution/Contribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[1]/madsrdf:elementValue,710 $a,NR,,The first element in the elementList collection becomes $a
